flag,vessel_name,mmsi,imo,fishing_hours,fishing_area
ALB,08106,201708106,,1204.1,hsp2
ALB,08106,201708106,,943.85,hsp1
ALB,XIN MING CAI,201601665,,2640.31,hsp2
ALB,XIN MING CAI,201601665,,171.96,hsp1
ALB,XIN MING CAI,201601665,,2.04,fsm_eez
AUS,D&D,503062760.0,,83.43,vanuatu_eez
CHN,DAYANG6-2           ,412006002.0,,368.82,fiji_eez
CHN,DONG YU 1521,412421095,,22.86,hsp7
CHN,DONG YU 1521,412421095,,291.1,hsp6
CHN,DONG YU 1521,412421095,,1421.71,kirbati2_eez
CHN,DONG YU 1521,412421095,,741.84,kiribati1_eez
CHN,FENG XIANG 818,412439604,8996176.0,12.19,nauru_eez
CHN,FENG XIANG 818,412439604,8996176.0,74.01,fsm_eez
CHN,FENG XIANG 818,412439604,8996176.0,206.3,png_eez
CHN,FENG XIANG 818,412439604,8996176.0,20.68,kiribati1_eez
CHN,GUANGYUANYU331,412549559,1016616.0,184.43,hsp7
CHN,GUANGYUANYU331,412549559,1016616.0,88.2,hsp6
CHN,GUANGYUANYU331,412549559,1016616.0,470.04,kirbati2_eez
CHN,GUANGYUANYU331,412549559.0,1016616.0,19.77,fiji_eez
CHN,GUANGYUANYU332,412549561,1016630.0,3.69,tonga_eez
CHN,GUANGYUANYU332,412549561.0,1016630.0,7.48,fiji_eez
CHN,GUANGYUANYU333,412549562,1016642.0,419.63,hsp4
CHN,GUANGYUANYU333,412549562.0,1016642.0,31.1,fiji_eez
CHN,GUANGYUANYU333,412549562,1016642.0,872.1,kiribati1_eez
CHN,GUANGYUANYU335,412549563,1016678.0,67.97,hsp7
CHN,GUANGYUANYU335,412549563.0,1016678.0,22.74,fiji_eez
CHN,GUANGYUANYU336,412483615,,6.98,tonga_eez
CHN,GUANGYUANYU336,412483615.0,,961.78,vanuatu_eez
CHN,GUANGYUANYU336,412483615.0,,245.74,hsp5
CHN,GUANGYUANYU336,412483615.0,,21.38,fiji_eez
CHN,GUANGYUANYU33603,412033603.0,,1402.88,vanuatu_eez
CHN,GUANGYUANYU33603,412033603.0,,358.7,hsp5
CHN,GUANGYUANYU33606,412033606.0,,1474.28,vanuatu_eez
CHN,GUANGYUANYU33606,412033606.0,,319.5,hsp5
CHN,GUANGYUANYU33606,412033606.0,,0.0,fiji_eez
CHN,GUANGYUANYU338,412460084,,10.69,tonga_eez
CHN,GUANGYUANYU338,412460084.0,,2005.22,vanuatu_eez
CHN,GUANGYUANYU338,412460084.0,,669.11,hsp5
CHN,GUANGYUANYU338,412460084.0,,23.59,fiji_eez
CHN,GUANGYUANYU339,412460083.0,,297.99,vanuatu_eez
CHN,GUANGYUANYU339,412460083,,290.78,hsp4
CHN,GUANGYUANYU339,412460083.0,,901.27,hsp5
CHN,GUANGYUANYU339,412460083.0,,0.26,fiji_eez
CHN,GUANGYUANYU339,412460083,,1443.02,kiribati1_eez
CHN,GYY333-10,412333010,,546.25,hsp4
CHN,GYY333-10,412333010,,1454.18,kiribati1_eez
CHN,GYY335-03,412335003,,76.68,hsp7
CHN,GYY335-10,412335010,,100.7,hsp7
CHN,GYY336-03,412336003.0,,1456.2,vanuatu_eez
CHN,GYY336-03,412336003.0,,341.55,hsp5
CHN,GYY336-04,412336004.0,,1506.55,vanuatu_eez
CHN,GYY336-04,412336004.0,,384.39,hsp5
CHN,GYY336-04,412336004.0,,0.0,fiji_eez
CHN,GYY338-01,412338001.0,,1428.54,vanuatu_eez
CHN,GYY338-01,412338001.0,,217.9,hsp5
CHN,GYY338-03,412338003.0,,642.51,vanuatu_eez
CHN,GYY339-02,412339002.0,,167.19,vanuatu_eez
CHN,GYY339-02,412339002,,236.29,hsp4
CHN,GYY339-02,412339002.0,,500.05,hsp5
CHN,GYY339-02,412339002,,1569.51,kiribati1_eez
CHN,HAI XING 715,412420433,,22.94,hsp7
CHN,HAI XING 715,412420433,,328.13,kirbati2_eez
CHN,HAI XING 716,412420434,,36.67,hsp7
CHN,HAI XING 718,412420436,,276.27,kirbati2_eez
CHN,HAI XING 815,412420863,,4.0,hsp7
CHN,HAI XING 815,412420863,,295.55,kirbati2_eez
CHN,HAIXING717,412420435,,11.45,hsp7
CHN,HAIXING817,412420865,,124.41,hsp7
CHN,HAIXING817,412420865,,2.84,hsp7
CHN,HAIXING817,412420865,,595.49,kirbati2_eez
CHN,HAO YANG 77,412217989,9038153.0,274.04,nauru_eez
CHN,HAO YANG 77,412217989,9038153.0,40.89,tuvalu_eez
CHN,HAO YANG 77,412217989,9038153.0,563.78,kiribati1_eez
CHN,HAO YANG 77,412217989,9038153.0,42.44,solomon_islands_eez
CHN,HAO YANG 88,412217991,8608690.0,348.53,kiribati1_eez
CHN,HNY 702,412464153,,1757.19,rmi_eez
CHN,HNY717,412460004,,214.49,hsp7
CHN,HNY721,412460007,,159.52,hsp6
CHN,HNY721,412460007,,1238.95,fsm_eez
CHN,HNY721,412460007,,6.03,kiribati1_eez
CHN,HNY736,412460075,,398.72,hsp7
CHN,HNY739,412460113,,15.2,hsp6
CHN,HNY739,412460113,,1364.31,kiribati1_eez
CHN,HNY761,412465076,,3188.01,rmi_eez
CHN,HONG YANG 8,412326798,,1735.1,hsp4
CHN,HONG YANG 8,412326798.0,,38.05,hsp5
CHN,HONG YANG 8,412326798,,156.76,hsp7
CHN,HONG YANG 8,412326798.0,,33.2,fiji_eez
CHN,HONG YANG 88,412326873.0,,18.5,vanuatu_eez
CHN,HONG YANG 88,412326873,,177.98,hsp4
CHN,HONG YANG 88,412326873.0,,56.84,hsp5
CHN,HONG YANG 88,412326873,,1799.05,hsp7
CHN,HONG YANG 88,412326873,,680.51,hsp6
CHN,HONG YANG 88,412326873,,2249.14,png_eez
CHN,HONG YANG 88,412326873.0,,9.23,fiji_eez
CHN,HONG YANG 88,412326873,,21.28,solomon_islands_eez
CHN,HONG YANG 9,412326799,,780.59,hsp7
CHN,HONG YANG 9,412326799,,501.66,hsp6
CHN,HONG YANG 9,412326799.0,,14.32,fiji_eez
CHN,HONGYANG11,412420871,,11.01,hsp7
CHN,HONGYANG11,412420871.0,,14.57,fiji_eez
CHN,HONGYANG8,412420875,,2.63,hsp3
CHN,HONGYANG8,412420875,,199.93,hsp7
CHN,HONGYANG8,412420875,,377.43,kirbati2_eez
CHN,HONGYANG88,412420877.0,,0.5,fiji_eez
CHN,HU YU 928,412371207,,429.22,hsp4
CHN,HU YU 928,412371207.0,,24.33,hsp5
CHN,HU YU 928,412371207,,17.35,hsp6
CHN,HU YU 928,412371207,,784.95,kirbati2_eez
CHN,HU YU 928,412371207.0,,10.63,fiji_eez
